,term,Course_Name,enrolled,total_Seats
1531,Fall 2015,CSC 300GW [03 ],25,25
1532,Fall 2015,CSC 300GW [04 ],25,25
1533,Fall 2015,CSC 340 [01 ],75,60
1534,Fall 2015,CSC 340 [02 ],58,55
1535,Fall 2015,CSC 412 [01 ],35,40
1536,Fall 2015,CSC 412 [02 ],23,40
1537,Fall 2015,CSC 412 [03 ],47,40
1538,Fall 2015,CSC 413 [01 ],14,40
1539,Fall 2015,CSC 413 [02 ],26,55
1540,Fall 2015,CSC 413 [03 ],67,70
1541,Fall 2015,CSC 415 [01 ],53,55
1542,Fall 2015,CSC 415 [02 ],40,40
1543,Fall 2015,CSC 510 [01 ],45,40
1544,Fall 2015,CSC 510 [02 ],53,55
1545,Fall 2015,CSC 520 [01 ],64,55
1546,Fall 2015,CSC 520 [02 ],34,55
1547,Fall 2015,CSC 600 [01 ],41,40
1548,Fall 2015,CSC 600 [02 ],54,55
1549,Fall 2015,CSC 641 [01 ],12,20
1550,Fall 2015,CSC 648 [01 ],37,25
1551,Fall 2015,CSC 648 [02 ],23,25
1552,Fall 2015,CSC 650 [01 ],48,50
1553,Fall 2015,CSC 667 [01 ],47,30
1554,Fall 2015,CSC 675 [01 ],38,20
1555,Fall 2015,CSC 675 [02 ],17,20
1556,Fall 2015,CSC 693 [01 ],0,10
1557,Fall 2015,CSC 694 [01 ],0,36
1558,Fall 2015,CSC 699 [01 ],0,15
1559,Fall 2015,CSC 720 [01 ],17,20
1560,Fall 2015,CSC 746 [01 ],14,20
1561,Fall 2015,CSC 775 [01 ],6,15
1562,Fall 2015,CSC 775 [02 ],6,15
1563,Fall 2015,CSC 780 [01 ],21,19
1564,Fall 2015,CSC 810 [01 ],29,20
1565,Fall 2015,CSC 841 [01 ],1,15
1566,Fall 2015,CSC 848 [01 ],12,15
1567,Fall 2015,CSC 848 [02 ],15,15
1568,Fall 2015,CSC 849 [01 ],6,20
1569,Fall 2015,CSC 857 [01 ],8,15
1570,Fall 2015,CSC 867 [01 ],21,20
1571,Fall 2015,CSC 872 [01 ],23,20
1572,Fall 2015,CSC 893 [01 ],1,10
1573,Fall 2015,CSC 895 [01 ],0,0
1574,Fall 2015,CSC 897 [01 ],0,24
1575,Fall 2015,CSC 898 [01 ],0,0
1576,Fall 2015,CSC 899 [01 ],0,15
1577,Fall 2015,CSC 848 [01 ],12,15
1578,Fall 2015,CSC 848 [02 ],15,15
1579,Fall 2015,CSC 849 [01 ],6,20
1580,Fall 2015,CSC 857 [01 ],8,15
1581,Fall 2015,CSC 867 [01 ],21,20
1582,Fall 2015,CSC 872 [01 ],23,20
1583,Fall 2015,CSC 893 [01 ],1,10
1584,Fall 2015,CSC 895 [01 ],0,0
1585,Fall 2015,CSC 897 [01 ],0,24
1586,Fall 2015,CSC 898 [01 ],0,0
1587,Fall 2015,CSC 899 [01 ],0,15
1588,Fall 2015,CSC 848 [01 ],12,15
1589,Fall 2015,CSC 848 [02 ],15,15
1590,Fall 2015,CSC 849 [01 ],6,20
1591,Fall 2015,CSC 857 [01 ],8,15
1592,Fall 2015,CSC 867 [01 ],21,20
1593,Fall 2015,CSC 872 [01 ],23,20
1594,Fall 2015,CSC 893 [01 ],1,10
1595,Fall 2015,CSC 895 [01 ],0,0
1596,Fall 2015,CSC 897 [01 ],0,24
1597,Fall 2015,CSC 898 [01 ],0,0
