num_people_enrolled,total_class_size,class_number,term,professor
18,20,"Lab, Intro to Computer Science                                ",FALL 2010,"['Bruce, Kim Barry ']"
26,38,Fundamentals of Computer Science                                ,FALL 2010,"['Bull, Everett L., Jr. ']"
31,33,Principles of Computer Science                                ,FALL 2010,"['Keller, Robert M. ']"
4,18,Data Structures &Adv Programming                                ,FALL 2010,"['Lee, Arthur H. ']"
18,20,Data Structures/Prgm Development                                ,FALL 2010,"[""O'Neill, Melissa E. ""]"
9,17,Data Structures/Prgm Development                                ,FALL 2010,"[""O'Neill, Melissa E. ""]"
24,24,Computability and Logic                                ,FALL 2010,"['Stone, Christopher ']"
19,20,Computer Systems                                ,FALL 2010,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
23,20,Software Development                                ,FALL 2010,"['Francois, Alexandre ']"
17,14,Computer Networks                                ,FALL 2010,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
27,40,Programming Languages                                ,FALL 2010,"['Bruce, Kim Barry ']"
15,22,Algorithms                                ,FALL 2010,"['Pippenger, Nicholas J. ']"
21,24,Artificial Intelligence                                ,FALL 2010,"['Kauchak, David R. ']"
15,14,Neural Networks                                ,FALL 2010,"['Keller, Robert M. ']"
10,18,Computer Graphics                                ,FALL 2010,"['Sweedyk, Elizabeth Ann ']"
10,15,Seminar on Computer Security                                ,FALL 2010,"['Bull, Everett L., Jr. ']"
21,12,Topics in Complexity - Topics in Complexity Theory     ,FALL 2010,"['Libeskind-Hadas, Ran ']"
26,66,Computer Science Clinic I                                ,FALL 2010,"['Keller, Robert M. ']"
0,5,Computer Science Research I                                ,FALL 2010,['Staff ']
0,10,Computer Science Research I                                ,FALL 2010,['Staff ']
1,5,Computer Science Research I                                ,FALL 2010,"['Stone, Christopher ']"
2,10,Computer Science Research I                                ,FALL 2010,"['Libeskind-Hadas, Ran ']"
27,50,Programming Practicum                                ,FALL 2010,"['Dodds, Zachary B. ']"
13,16,Computer Science Senior Seminar                                ,FALL 2010,"['Bruce, Kim Barry ', 'Kauchak, David R. ']"
0,99,Computer Science Project I                                ,FALL 2010,['Staff ']
0,99,Computer Science Project I                                ,FALL 2010,['Staff ']
0,99,Computer Science Project I                                ,FALL 2010,['Staff ']
1,35,Computer Science Project I                                ,FALL 2010,"['Dodds, Zachary B. ']"
1,35,Computer Science Project I                                ,FALL 2010,"['Keller, Robert M. ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2010,"['Bruce, Kim Barry ']"
1,15,Sr Research/Thesis Computer Sci                                ,FALL 2010,"['Bull, Everett L., Jr. ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2010,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 2010,"['Bruce, Kim Barry ']"
0,15,Senior Project                                ,FALL 2010,"['Bull, Everett L., Jr. ']"
0,15,Senior Project                                ,FALL 2010,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 2010,"['Bruce, Kim Barry ']"
72,99,Computer Science Colloquium                                ,FALL 2010,"[""O'Neill, Melissa E. ""]"
0,99,Adv Problems in Computer Science                                ,FALL 2010,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 2010,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 2010,['Staff ']
17,24,Programming for Science+Engineer                                ,FALL 2010,"['Higdon, James C. ']"
95,95,Introduction to Computer Science                                ,FALL 2011,"['Dodds, Zachary B. ']"
81,95,Introduction to Computer Science                                ,FALL 2011,"['Dodds, Zachary B. ']"
34,95,Introduction to Computer Science                                ,FALL 2011,"['Libeskind-Hadas, Ran ', 'Sweedyk, Elizabeth Ann ']"
35,60,Intro Biol and Computer Sci Lab                                ,FALL 2011,"['Bush, Eliot C. ']"
34,55,Intro Biology and Comp Science                                ,FALL 2011,"['Bush, Eliot C. ']"
58,60,Intro to Computer Science Lab                                ,FALL 2011,"['Dodds, Zachary B. ']"
54,60,Intro to Computer Science Lab                                ,FALL 2011,"['Dodds, Zachary B. ']"
37,60,Intro to Computer Science Lab                                ,FALL 2011,"['Libeskind-Hadas, Ran ']"
59,60,Intro to Computer Science Lab                                ,FALL 2011,"['Libeskind-Hadas, Ran ']"
30,36,Principles & Practice: Comp Sci                                ,FALL 2011,"['Stone, Christopher ']"
31,40,Introduction to Computer Science                                ,FALL 2011,"['Lee, Arthur H. ']"
32,40,Intro to Computer Science w/Lab                                ,FALL 2011,"['Bruce, Kim Barry ']"
17,20,"Lab, Intro to Computer Science                                ",FALL 2011,"['Bruce, Kim Barry ']"
15,20,"Lab, Intro to Computer Science                                ",FALL 2011,"['Coogan, Kevin P. ']"
36,35,Fundamentals of Computer Science                                ,FALL 2011,"['Bull, Everett L., Jr. ']"
34,99,Principles of Computer Science                                ,FALL 2011,"['Dodds, Zachary B. ']"
18,25,Data Structures &Adv Programming                                ,FALL 2011,"['Lee, Arthur H. ']"
29,25,Data Structures/Prgm Development                                ,FALL 2011,"[""O'Neill, Melissa E. ""]"
26,25,Data Structures/Prgm Development                                ,FALL 2011,"[""O'Neill, Melissa E. ""]"
34,30,Computability and Logic                                ,FALL 2011,"['Stone, Christopher ']"
39,25,Computer Systems                                ,FALL 2011,"['Erlinger, Michael A. ']"
